Year,Quarter,Months,Total Vehicles,New Vehicles,Roadster,Model S,Model X,Model 3,Autopilot Hardware
2008,2,Apr-Jun,3,3,3,,,,0
2008,3,Jul-Sep,30,27,27,,,,0
2008,4,Oct-Dec,100,70,70,,,,0
2009,1,Jan-Mar,320,220,220,,,,0
2009,2,Apr-Jun,500,180,180,,,,0
2009,3,Jul-Sep,700,200,200,,,,0
2009,4,Oct-Dec,1000,300,300,,,,0
2010,1,Jan-Mar,1100,100,100,,,,0
2010,2,Apr-Jun,1200,100,100,,,,0
2010,3,Jul-Sep,1300,100,100,,,,0
2010,4,Oct-Dec,1400,100,100,,,,0
2011,1,Jan-Mar,1598,198,198,,,,0
2011,2,Apr-Jun,1796,198,198,,,,0
2011,3,Jul-Sep,1994,198,198,,,,0
2011,4,Oct-Dec,2194,200,200,,,,0
2012,1,Jan-Mar,2293,99,99,,,,0
2012,2,Apr-Jun,2382,89,89,,,,0
2012,3,Jul-Sep,2703,321,68,253,,,0
2012,4,Oct-Dec,5103,2400,,2400,,,0
2013,1,Jan-Mar,10003,4900,,4900,,,0
2013,2,Apr-Jun,15153,5150,,5150,,,0
2013,3,Jul-Sep,20653,5500,,5500,,,0
2013,4,Oct-Dec,27545,6892,,6892,,,0
2014,1,Jan-Mar,34002,6457,,6457,,,0
2014,2,Apr-Jun,41581,7579,,7579,,,0
2014,3,Jul-Sep,49366,7785,,7785,,,0
2014,4,Oct-Dec,59200,9834,,9834,,,1
2015,1,Jan-Mar,69245,10045,,10045,,,1
2015,2,Apr-Jun,80777,11532,,11532,,,1
2015,3,Jul-Sep,92380,11603,,11603,,,1
2015,4,Oct-Dec,109858,17478,,17272,206,,1
2016,1,Jan-Mar,124668,14810,,,,,1
2016,2,Apr-Jun,139070,14402,,9764,4638,,1
2016,3,Jul-Sep,163891,24821,,16047,8774,,1
2016,4,Oct-Dec,186143,22252,,,,,2
2017,1,Jan-Mar,211194,25051,,,,,2
2017,2,Apr-Jun,233220,22026,,,,,2
2017,3,Jul-Sep,259357,26137,,,,222,2
2017,4,Oct-Dec,289324,29967,,,,1542,2
2018,1,Jan-Mar,319321,29997,,,,8182,2
2018,2,Apr-Jun,360061,40740,,10930,11370,28578,2
2018,3,Jul-Sep,443561,83500,,14470,13190,55840,2
